date,open,high,low,close,volume
2020-01-02,100131.32,101454.42,99586.21,100691.31,151601
2020-01-03,100662.40,102226.71,99819.26,101766.74,160424
2020-01-06,101513.78,101796.40,100755.41,100831.14,421902
2020-01-07,100983.60,102807.36,96895.26,97930.32,137033
2020-01-08,97555.20,103567.46,96203.83,102854.77,100765
2020-01-09,103051.58,106637.61,102841.86,104596.62,61206
2020-01-10,104514.76,104754.15,102380.67,103255.15,201275
2020-01-13,102656.74,103240.67,98910.41,99517.53,149711
2020-01-14,99866.63,100020.69,99562.74,99577.99,56604
2020-01-15,99728.28,101856.56,97612.96,101255.31,137603
2020-01-16,100863.19,103918.50,100843.23,102995.51,130354
2020-01-17,102527.64,103429.36,100546.00,102804.90,292683
2020-01-20,102366.54,105939.55,101904.14,105140.11,189894
2020-01-21,105558.77,107983.75,105185.27,106844.10,43894
2020-01-22,106753.52,113959.86,106128.92,111839.25,101843
2020-01-23,111702.23,113104.94,111047.24,112510.37,103382
2020-01-24,111881.07,112915.45,109876.72,111473.53,473063
2020-01-27,111923.80,113405.90,111158.00,113249.66,220585
2020-01-28,113501.49,113851.87,112119.18,113657.40,144225
2020-01-29,112811.46,115413.69,111730.35,113781.53,561221
2020-01-30,114076.92,119218.61,114068.34,117351.57,98598
2020-01-31,116729.35,120053.54,114620.07,119558.13,474693
2020-02-03,119296.24,121893.53,118532.76,119289.84,255594
2020-02-04,118532.92,119067.97,115645.72,117147.15,120003
2020-02-05,118096.15,119364.18,115674.56,116161.50,188423
2020-02-06,116809.59,117243.97,114098.91,116025.87,298811
2020-02-07,116184.59,116509.48,112942.51,115069.61,124617
2020-02-10,114239.68,115428.30,112476.68,113976.25,80768
2020-02-11,114179.76,114674.27,110080.70,111716.51,649682
2020-02-12,112102.48,113757.82,108037.76,108381.05,166181
2020-02-13,108918.64,109482.18,105375.66,106320.02,355227
2020-02-14,106617.70,107271.38,102128.54,102341.29,491857
2020-02-17,102210.05,102710.03,100489.46,102552.05,166617
2020-02-18,103576.37,103733.01,101763.56,102138.91,161005
