date,open,high,low,close,volume
2020-01-02,101159.11,103169.60,96410.12,96871.79,105474
2020-01-03,96908.94,97696.26,92904.72,94436.97,415403
2020-01-06,94382.16,94503.77,93085.07,93933.06,94577
2020-01-07,94117.71,96006.62,93578.46,93895.48,190989
2020-01-08,94464.33,94730.57,91132.76,92255.40,496962
2020-01-09,92748.33,93551.38,92191.47,92413.38,361316
2020-01-10,92390.65,97213.57,92244.53,95906.10,54927
2020-01-13,95679.49,97302.22,95140.82,96237.30,416856
2020-01-14,96622.19,98318.89,96548.68,98040.44,353562
2020-01-15,98374.38,99215.82,97564.64,99086.47,128342
2020-01-16,99215.01,100252.80,94094.41,94298.93,134762
2020-01-17,94109.55,96175.22,93281.30,95013.08,340186
2020-01-20,94749.89,96513.12,93019.04,93547.42,321841
2020-01-21,92936.92,93870.62,87886.39,88757.61,306077
2020-01-22,89059.14,89697.61,84683.55,85838.08,50684
2020-01-23,85570.44,86675.87,83066.01,86245.28,172319
2020-01-24,86146.48,86553.23,82336.14,82616.16,201963
2020-01-27,82546.59,83543.73,81939.02,83313.63,258918
2020-01-28,83444.31,85020.32,82356.28,84608.34,144033
2020-01-29,84478.85,85590.48,80864.01,81346.35,115522
2020-01-30,81352.62,83693.87,81139.28,83429.15,80337
2020-01-31,83465.87,84223.38,80816.22,81682.03,847495
2020-02-03,81576.02,82329.80,81193.54,82175.50,184105
2020-02-04,81943.22,82166.93,79796.68,80206.43,187237
2020-02-05,80507.77,81801.34,80349.04,81091.92,514703
2020-02-06,81090.43,86395.25,80269.12,84839.89,138574
2020-02-07,84681.02,86506.84,83331.58,84248.20,84844
2020-02-10,84355.68,85430.81,81075.85,82323.91,171207
2020-02-11,81811.45,82639.19,80418.94,80628.05,144553
2020-02-12,80575.14,80759.74,79658.21,80607.17,212551
2020-02-13,80355.14,80458.10,78802.16,78836.99,172543
2020-02-14,78645.02,80069.57,77647.26,79371.26,47273
2020-02-17,79116.57,80014.59,77696.15,78058.25,83379
2020-02-18,77723.08,80516.80,77580.65,79013.23,226499
2020-02-19,78784.71,81357.08,78734.99,80059.32,150801
2020-02-20,79935.08,80493.85,78531.66,78806.32,282657
2020-02-21,78844.69,80374.97,77505.35,79495.81,190648
2020-02-24,79556.02,80330.26,77291.45,77944.77,61999
2020-02-25,78281.82,78860.97,75829.78,77553.11,196118
2020-02-26,77743.49,77753.33,74878.33,75769.12,409347
2020-02-27,75760.95,76580.92,74976.49,76574.33,119242
2020-02-28,76377.90,77248.93,76006.26,76430.31,195985
2020-03-02,76494.29,78279.66,76237.80,77868.96,185051
2020-03-03,78206.47,78757.57,77569.43,78141.35,139455
2020-03-04,77861.89,83430.69,76627.41,82471.57,373903
2020-03-05,82597.63,82813.08,80964.16,82071.73,156905
2020-03-06,82493.11,85466.97,82392.56,84243.85,210243
2020-03-09,84598.36,85298.76,81686.99,82371.76,185569
2020-03-10,82582.79,85042.23,82296.80,84808.00,340420
2020-03-11,84245.34,84359.28,83135.07,83775.27,141746
2020-03-12,83577.50,86239.19,83416.07,86040.34,184646
2020-03-13,86103.91,86247.77,84426.90,84837.90,89516
2020-03-16,84751.19,84919.26,82150.62,83084.63,64675
2020-03-17,82845.22,84974.56,77795.65,78547.27,101212
2020-03-18,78463.15,81610.97,78125.30,78895.12,487249
2020-03-19,79279.87,80161.40,78099.31,78953.83,267193
2020-03-20,78897.36,78962.71,78355.19,78519.34,495872
